epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.045,1.2412,1.5113,1.20287,0.93295,0.86231,0.91225,0.50952,1.45347,0.91884,1.35221,0.000664653,0.000664653,0.000664653
2,414.514,1.24863,0.8143,1.21792,0.92384,0.87704,0.92885,0.54676,1.41669,0.78146,1.32225,0.00126542,0.00126542,0.00126542
3,619.801,1.25114,0.75186,1.23736,0.93971,0.90008,0.94185,0.57206,1.32794,0.76939,1.29896,0.00180019,0.00180019,0.00180019
4,826.218,1.21945,0.6989,1.22284,0.95387,0.92222,0.95668,0.60649,1.28163,0.60009,1.25121,0.001703,0.001703,0.001703
5,1029.05,1.18659,0.64784,1.20376,0.96292,0.9267,0.96321,0.62167,1.27877,0.561,1.251,0.001604,0.001604,0.001604
6,1237.74,1.16436,0.61567,1.19142,0.9627,0.92629,0.96281,0.64393,1.21967,0.54207,1.22584,0.001505,0.001505,0.001505
7,1442.1,1.14058,0.59387,1.17849,0.9669,0.93271,0.96854,0.65153,1.24323,0.49607,1.22527,0.001406,0.001406,0.001406
8,1647.36,1.12132,0.57202,1.16624,0.96276,0.92257,0.96158,0.63924,1.20481,0.54109,1.21148,0.001307,0.001307,0.001307
9,1861.04,1.10094,0.55306,1.15606,0.96858,0.94062,0.97297,0.66409,1.18629,0.4824,1.19978,0.001208,0.001208,0.001208
10,2068.59,1.09449,0.53963,1.15282,0.97289,0.94038,0.97156,0.66812,1.15695,0.47236,1.17755,0.001109,0.001109,0.001109
11,2273.75,1.07442,0.46613,1.17203,0.96972,0.9472,0.98013,0.68293,1.15938,0.45708,1.17802,0.00101,0.00101,0.00101
12,2473.08,1.05749,0.44932,1.16874,0.98162,0.94789,0.97708,0.67397,1.15926,0.46159,1.17893,0.000911,0.000911,0.000911
13,2672.45,1.04129,0.43317,1.14987,0.97818,0.94726,0.97984,0.67805,1.15236,0.44558,1.1659,0.000812,0.000812,0.000812
14,2872.29,1.02406,0.42324,1.14369,0.98012,0.94903,0.98089,0.68338,1.12889,0.43938,1.15863,0.000713,0.000713,0.000713
15,3071.63,1.01283,0.40867,1.1355,0.98587,0.95024,0.98248,0.68936,1.12798,0.42714,1.162,0.000614,0.000614,0.000614
16,3271.24,0.99612,0.3982,1.12543,0.98134,0.95117,0.98369,0.69188,1.11219,0.4169,1.15185,0.000515,0.000515,0.000515
17,3470.96,0.98325,0.38561,1.11634,0.97574,0.95775,0.98175,0.68988,1.11059,0.41262,1.14916,0.000416,0.000416,0.000416
18,3670.08,0.96954,0.37407,1.10498,0.97573,0.96253,0.98459,0.70295,1.10206,0.39817,1.13855,0.000317,0.000317,0.000317
19,3869.14,0.95245,0.36473,1.09558,0.97712,0.96231,0.98359,0.69841,1.11019,0.39272,1.14782,0.000218,0.000218,0.000218
20,4068.71,0.93715,0.35317,1.09045,0.97072,0.96488,0.98407,0.69934,1.10945,0.38966,1.14926,0.000119,0.000119,0.000119
